objID,ra,dec,mjd,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,Num
1237656909051658242,27.8687654434448,1.24918760531304,52197,17.78023,0.05361895,16.64948,0.02511824,16.71513,0.02027035,16.82497,0.01849733,16.85079,0.01968708,1265892.0
1237656909051658241,27.8687753410613,1.24918156425283,52197,17.78305,0.05361897,16.64964,0.0251182,16.71523,0.02027018,16.82726,0.01853415,16.84104,0.01964069,1265892.0
1237656973456048140,27.8687792397179,1.24919042419172,52207,17.66356,0.0152824,16.55722,0.01294747,16.68093,0.01083439,16.80116,0.01602737,16.87058,0.01584802,1265892.0
1237656973456048141,27.868767941087,1.24919030540172,52207,17.66236,0.0152814,16.55719,0.0129475,16.68067,0.01083437,16.79985,0.01602639,16.86739,0.01583716,1265892.0
1237656973456048142,27.868767941087,1.24919030540172,52207,17.66236,0.0152814,16.55719,0.01294752,16.68067,0.01083437,16.79985,0.01600098,16.86739,0.01583716,1265892.0
1237657072233087172,27.8687706444892,1.24918903416967,52224,19.09293,0.02947008,17.95106,0.02200267,17.70576,0.01477371,17.61604,0.01116652,17.60366,0.0220161,1265892.0
1237657192528019489,27.8687618672697,1.2491809972944,52231,19.00734,0.02270734,17.90193,0.02052532,17.66536,0.0166682,17.5807,0.01509207,17.558,0.0254067,1265892.0
1237657192528019488,27.8687734869754,1.24918481208854,52231,19.00761,0.02267036,17.90199,0.02052485,17.6657,0.01666799,17.5816,0.01531628,17.56224,0.02541922,1265892.0
1237657235445252255,27.8687693241793,1.24918795317217,52234,18.92724,0.03282106,17.83023,0.02312502,17.57945,0.009506089,17.50762,0.01565989,17.522,0.01974188,1265892.0
1237657235445252254,27.8687756879658,1.24918975212331,52234,18.93617,0.03285465,17.83055,0.02312483,17.58,0.009505703,17.50896,0.0156604,17.52159,0.01972201,1265892.0
1237657737953411215,27.8687691729227,1.24918164695071,52282,19.04075,0.02696791,17.8903,0.01377575,17.64169,0.03111853,17.54691,0.01601921,17.47568,0.02462723,1265892.0
1237657737953411214,27.8687706167114,1.24917213366289,52282,19.03727,0.02685076,17.89071,0.01377442,17.64268,0.0311182,17.54711,0.01601773,17.47804,0.02526655,1265892.0
1237657815265247269,27.8687740058492,1.24918358219594,52287,18.99686,0.02561098,17.80498,0.02815171,17.53555,0.01612723,17.46932,0.01391618,17.45068,0.02166409,1265892.0
1237659915501502506,27.8687756805291,1.24918537132076,52552,18.77864,0.02752009,17.61642,0.0190524,17.37864,0.0178016,17.33151,0.01815554,17.31371,0.02539466,1265892.0
1237660010023682088,27.8687626408197,1.24917864884875,52557,18.73379,0.02274818,17.55772,0.02311782,17.34486,0.01275975,17.27584,0.01571566,17.26654,0.01853683,1265892.0
1237660010023682087,27.8687739125135,1.24917203726838,52557,18.73683,0.02275632,17.55804,0.02311773,17.34507,0.0127593,17.27583,0.01571503,17.26444,0.01850601,1265892.0
1237662969223184542,27.868763392887,1.24918488781955,52872,19.03681,0.02636839,17.86247,0.01829356,17.61648,0.01292679,17.54569,0.0140866,17.5147,0.02209485,1265892.0
1237663205463228579,27.8687726482264,1.24917628713943,52908,19.02424,0.0461216,17.86226,0.0146447,17.60021,0.01953647,17.49,0.01666952,17.48226,0.02056958,1265892.0
1237663205463228578,27.8687747897353,1.24917686747549,52908,19.02863,0.04612498,17.86269,0.01464399,17.60139,0.01953654,17.49008,0.01672271,17.47354,0.02047254,1265892.0
1237663506126602424,27.8687624147509,1.24917880733422,52934,18.94842,0.02642695,17.73438,0.03727874,17.5037,0.01394536,17.42473,0.02123732,17.41369,0.02012078,1265892.0
1237663506126602423,27.8687661128148,1.24918226957553,52934,18.95357,0.02644133,17.73484,0.03727865,17.50447,0.01394508,17.42804,0.02124079,17.42093,0.02017583,1265892.0
1237663544781963266,27.8687663350518,1.24918384472024,52936,18.88151,0.02467658,17.785,0.01435115,17.50961,0.01577674,17.42596,0.01239444,17.37548,0.02030541,1265892.0
1237663544781963265,27.8687724617245,1.24918002793786,52936,18.88103,0.02463978,17.78522,0.01435082,17.50991,0.01577635,17.42623,0.0123937,17.36118,0.02018849,1265892.0
1237666302156406894,27.8687686001625,1.24918563967898,53270,18.97957,0.02657379,18.47319,0.04170305,17.67927,0.01648491,17.62113,0.01594739,17.56903,0.03132075,1265892.0
1237666340804493342,27.8687508215173,1.24919044267057,53272,17.89893,0.03820556,16.76183,0.01557163,16.91285,0.01730088,16.96953,0.0184883,17.02846,0.02170567,1265892.0
1237666383744598225,27.8687667411926,1.24917241101825,53286,18.90017,0.02421748,17.71605,0.02697518,17.62241,0.01185863,17.52404,0.01480685,17.52391,0.01726563,1265892.0
1237666383744598224,27.8687768456355,1.24917526221845,53286,18.91031,0.02430358,17.71601,0.02697478,17.62344,0.01185852,17.52479,0.01480672,17.52603,0.01725337,1265892.0
1237666409528361153,27.8687664555122,1.24918212881999,53288,19.04799,0.02552916,17.94024,0.01580521,17.67429,0.0181949,17.61045,0.02215899,17.56958,0.02302908,1265892.0
1237666409528361152,27.8687717769881,1.24918770573453,53288,19.04884,0.02550106,17.94087,0.01580527,17.675,0.01819484,17.61169,0.02216113,17.56453,0.02296141,1265892.0
1237666499697442854,27.8687788373019,1.2491822424087,53294,18.48258,0.021732,17.38138,0.02391562,17.39629,0.01199441,17.36947,0.02089338,17.31009,0.02232435,1265892.0
1237666516871610493,27.8687771885186,1.24917744939719,53296,19.06181,0.05448418,17.88382,0.02380658,17.60836,0.01583138,17.58315,0.02148766,17.55512,0.02436206,1265892.0
1237666516871610494,27.8687625413822,1.24917789840153,53296,19.06406,0.05458352,17.88133,0.02380667,17.60883,0.01583418,17.58196,0.02148803,17.53971,0.02420059,1265892.0
1237666542644887555,27.8687768619701,1.24918385365114,53298,18.57494,0.02348249,17.43219,0.01810884,17.39847,0.01547617,17.37174,0.01167916,17.33846,0.02328643,1265892.0
1237666637157105764,27.8687549282346,1.24914263242032,53312,19.05481,0.03470722,17.85893,0.02261093,17.64979,0.02349287,17.56761,0.01758384,17.52032,0.02139741,1265892.0
1237666662927630513,27.8687606984108,1.24918152359287,53314,18.96767,0.02403651,17.8411,0.01319107,17.6168,0.02085329,17.52437,0.01877388,17.51661,0.02174971,1265892.0
1237666662927630512,27.8687645367827,1.24917817080396,53314,18.96799,0.02398574,17.84183,0.01319124,17.61754,0.02085328,17.52749,0.01877716,17.51356,0.02170825,1265892.0
1237678437011161190,27.8687711687456,1.24918796170591,54715,18.46583,0.02098691,17.30713,0.01950386,17.16357,0.01806779,17.17998,0.02029292,17.18821,0.02435894,1265892.0
1237678437011226626,27.8687566615127,1.24918952979546,54715,18.48461,0.02693812,17.31133,0.01936244,17.23199,0.01517426,17.18986,0.01804288,17.18437,0.02067404,1265892.0
1237678617429999775,27.8687763184732,1.24918194799115,54742,17.74163,0.02128224,16.56208,0.01805011,16.66613,0.01487486,16.80198,0.01431528,16.87584,0.01807249,1265892.0
1237678617430065153,27.8687731403182,1.24918925323648,54742,17.76964,0.01650838,16.57997,0.02865761,16.66274,0.01117327,16.80432,0.01344016,16.86628,0.01766761,1265892.0
1237678617430065154,27.8687664953661,1.24918450552895,54742,17.76921,0.01650857,16.58004,0.02865764,16.66232,0.01117321,16.80363,0.01343996,16.86943,0.01768198,1265892.0
1237680099165339745,27.8687759496388,1.24917082775064,55101,19.00838,0.02746606,17.89847,0.03854853,17.59888,0.01806155,17.50757,0.01731237,17.42402,0.02309266,1265892.0
1237680099165339746,27.8687760440955,1.24917084614782,55101,19.0048,0.02740581,17.89768,0.03854838,17.59843,0.01806161,17.50702,0.01731247,17.42437,0.02310475,1265892.0
1237657815265247268,27.8687862262302,1.24917955250255,52287,18.9976,0.02556617,17.80551,0.02815134,17.53591,0.01612651,17.46947,0.01391465,17.4511,0.02163985,1265892.0
1237659915501502505,27.8687822896117,1.24918399038323,52552,18.7827,0.0275137,17.61668,0.01905186,17.37964,0.01780167,17.33133,0.01815431,17.31431,0.02537688,1265892.0
1237666499697442853,27.8687839206773,1.24918025470114,53294,18.47843,0.02165157,17.38183,0.02391542,17.39643,0.01199321,17.36885,0.02089181,17.31178,0.02231472,1265892.0
1237666637157105765,27.8687844662534,1.24917783326998,53312,19.05181,0.03474038,17.85785,0.02261039,17.64713,0.02349122,17.56466,0.01745293,17.50581,0.02125021,1265892.0
1237666727324614813,27.8687841578666,1.24917920452097,53319,18.97785,0.02969535,17.86642,0.01645404,17.60828,0.01366079,17.48908,0.02228786,17.50915,0.02659692,1265892.0
1237678617429999774,27.8687815233393,1.24918801056096,54742,17.74184,0.02128115,16.5621,0.01805007,16.66596,0.01487469,16.80172,0.01431488,16.879,0.01807763,1265892.0
1237657109277048936,27.3397278083159,-0.222412238761435,52225,18.37258,0.02204756,17.14765,0.01985032,16.94348,0.01572494,16.89509,0.01955019,16.8962,0.02632835,1286634.0
1237659883826380879,27.3397258375455,-0.222416037581416,52551,18.57374,0.02260887,17.34983,0.02642899,17.0773,0.01675162,16.98785,0.01364872,16.93603,0.01810224,1286634.0
1237660025589465188,27.3397245151396,-0.22240001319927,52558,17.99717,0.01390464,16.84096,0.01941432,16.78509,0.01461467,16.79655,0.02612189,16.85008,0.02417623,1286634.0
1237660785773117453,27.3397275165197,-0.222404556706069,52640,18.04811,0.02877175,16.83812,0.02328231,16.77025,0.01906058,16.80014,0.01615456,16.79882,0.01573718,1286634.0
1237663525993381962,27.3397287616164,-0.222397726708394,52935,18.26859,0.0267374,17.06751,0.02608785,16.89332,0.01985456,16.85955,0.02147559,16.84737,0.02011354,1286634.0
1237667129436667906,27.3397194259085,-0.222399260235296,53351,18.66262,0.02881513,17.53079,0.02124627,17.2012,0.03642808,17.13769,0.0208779,17.08881,0.02691845,1286634.0
1237667129436667905,27.3397295424565,-0.222405412568609,53351,18.664,0.02881728,17.53111,0.02124609,17.20139,0.03643163,17.13768,0.0208775,17.08598,0.02689726,1286634.0
1237676324966498430,27.3397284479587,-0.222419267488523,54424,18.71576,0.03617953,17.58109,0.01208079,17.35159,0.01997193,17.23303,0.01946517,17.19551,0.02252523,1286634.0
1237646011095121986,27.3397396703798,-0.222390793713063,51081,18.09081,0.01515743,16.94193,0.01592337,16.87383,0.01621935,16.85135,0.01840645,16.86086,0.01511177,1286634.0
